id,purchaseNumber,shopCode,supplierName,grandTotalPKR,paymentStatus,paymentMethod,notes,date,createdAt
"po_ic2ilc6dx","PO-BR-03-02004","BR-03","Unilever Pakistan","61000","unpaid","credit","Stock Replenishment Order","2026-08-10T10:46:20.284Z","2026-08-10T10:46:20.284Z"
"po_bycp7yiq4","PO-BR-02-02002","BR-02","Engro Foods","69000","paid","bank","Stock Replenishment Order","2026-08-08T05:49:23.284Z","2026-08-08T05:49:23.284Z"
"po_nj7bmds9l","PO-BR-02-02006","BR-02","Tech Imports Karachi","43000","unpaid","credit","Stock Replenishment Order","2026-08-07T15:35:29.284Z","2026-08-07T15:35:29.284Z"
"po_xsn36740n","PO-BR-03-02014","BR-03","Nestlé Wholesale","74000","unpaid","credit","Stock Replenishment Order","2026-08-06T09:26:30.285Z","2026-08-06T09:26:30.285Z"
"po_jcqeqsjiw","PO-BR-03-02015","BR-03","Metro Logistics","61000","unpaid","credit","Stock Replenishment Order","2026-08-05T03:00:08.285Z","2026-08-05T03:00:08.285Z"
"po_48j967kv6","PO-MAIN-02001","MAIN","Shan Foods Distributor","67000","unpaid","credit","Stock Replenishment Order","2026-08-04T16:31:33.284Z","2026-08-04T16:31:33.284Z"
"po_dz57yhp7r","PO-BR-03-02003","BR-03","Reckitt Benckiser Dist.","68000","unpaid","credit","Stock Replenishment Order","2026-08-04T14:45:48.284Z","2026-08-04T14:45:48.284Z"
"po_0o2e8iymm","PO-MAIN-02011","MAIN","Nestlé Wholesale","29000","paid","bank","Stock Replenishment Order","2026-07-30T16:18:50.285Z","2026-07-30T16:18:50.285Z"
"po_hktawrscu","PO-BR-03-02016","BR-03","Engro Foods","30000","unpaid","credit","Stock Replenishment Order","2026-07-28T14:15:02.285Z","2026-07-28T14:15:02.285Z"
"po_mpwqlq0sv","PO-BR-02-02005","BR-02","Unilever Pakistan","60000","paid","cash","Stock Replenishment Order","2026-07-26T15:00:46.284Z","2026-07-26T15:00:46.284Z"
"po_45gotlguc","PO-MAIN-02017","MAIN","National Foods","25000","unpaid","credit","Stock Replenishment Order","2026-07-24T13:16:27.285Z","2026-07-24T13:16:27.285Z"
"po_9bghep7pn","PO-BR-02-02007","BR-02","Tech Imports Karachi","35000","paid","cash","Stock Replenishment Order","2026-07-21T05:38:51.284Z","2026-07-21T05:38:51.284Z"
"po_3qliacxfe","PO-BR-03-02008","BR-03","Tech Imports Karachi","30000","unpaid","credit","Stock Replenishment Order","2026-07-20T10:54:11.284Z","2026-07-20T10:54:11.284Z"
"po_1iexif5j4","PO-MAIN-02013","MAIN","Shan Foods Distributor","60000","paid","cash","Stock Replenishment Order","2026-07-20T05:26:03.285Z","2026-07-20T05:26:03.285Z"
"po_5oqygsbtb","PO-MAIN-02010","MAIN","Nestlé Wholesale","46000","unpaid","credit","Stock Replenishment Order","2026-07-19T10:16:21.285Z","2026-07-19T10:16:21.285Z"
"po_vdm9r45ss","PO-BR-03-02018","BR-03","Reckitt Benckiser Dist.","61000","unpaid","credit","Stock Replenishment Order","2026-07-19T05:32:08.285Z","2026-07-19T05:32:08.285Z"
"po_soei2xu5q","PO-BR-02-02012","BR-02","Nestlé Wholesale","54000","unpaid","credit","Stock Replenishment Order","2026-07-12T15:34:43.285Z","2026-07-12T15:34:43.285Z"
"po_enmf6d63v","PO-BR-02-02009","BR-02","Shan Foods Distributor","34000","unpaid","credit","Stock Replenishment Order","2026-07-12T10:52:32.284Z","2026-07-12T10:52:32.284Z"
