id,shopCode,sku,productName,type,quantityBefore,quantityChange,quantityAfter,reason,timestamp,createdAt
"mov_t64rsnpm2","MAIN","GRO-RICE-5KG","Rice (5kg)","initial","0","61","61","Initial store inventory upload","2026-07-15T03:48:56.252Z","2026-07-15T03:48:56.252Z"
"mov_8iw3k07br","MAIN","GRO-OIL-1L","Cooking Oil (1L)","initial","0","90","90","Initial store inventory upload","2026-07-23T14:51:11.254Z","2026-07-23T14:51:11.254Z"
"mov_m7qksgjbf","MAIN","GRO-FLOUR-10KG","Wheat Flour (10kg)","initial","0","83","83","Initial store inventory upload","2026-07-19T11:46:39.254Z","2026-07-19T11:46:39.254Z"
"mov_9p3f0hxle","MAIN","GRO-MILK-1L","Milk Pack (1L)","initial","0","94","94","Initial store inventory upload","2026-07-19T07:35:27.254Z","2026-07-19T07:35:27.254Z"
"mov_c7h26moer","MAIN","GRO-BISCUIT-FAM","Biscuits (Family Pack)","initial","0","70","70","Initial store inventory upload","2026-07-30T07:04:42.254Z","2026-07-30T07:04:42.254Z"
"mov_dbla224mz","MAIN","GRO-TEA-900G","Tea (900g)","initial","0","18","18","Initial store inventory upload","2026-07-20T03:33:56.254Z","2026-07-20T03:33:56.254Z"
"mov_4edwi7cfb","MAIN","GRO-SUGAR-1KG","Sugar (1kg)","initial","0","53","53","Initial store inventory upload","2026-07-13T09:24:32.254Z","2026-07-13T09:24:32.254Z"
"mov_vk6azhi6z","MAIN","GRO-LENTIL-1KG","Daal Chana (1kg)","initial","0","72","72","Initial store inventory upload","2026-07-24T04:39:15.254Z","2026-07-24T04:39:15.254Z"
"mov_u8elh7zbe","MAIN","BEV-WATER-1.5L","Mineral Water (1.5L)","initial","0","108","108","Initial store inventory upload","2026-07-17T14:54:37.254Z","2026-07-17T14:54:37.254Z"
"mov_kvcv93vxc","MAIN","BEV-COLA-1.5L","Cola Soft Drink (1.5L)","initial","0","88","88","Initial store inventory upload","2026-07-12T06:19:06.254Z","2026-07-12T06:19:06.254Z"
"mov_xxmvyno9n","MAIN","BEV-JUICE-1L","Mango Juice (1L)","initial","0","54","54","Initial store inventory upload","2026-07-30T05:26:49.254Z","2026-07-30T05:26:49.254Z"
"mov_agr0ot6si","MAIN","BEV-CHIPS-L","Potato Chips (Large)","initial","0","27","27","Initial store inventory upload","2026-07-15T07:05:42.254Z","2026-07-15T07:05:42.254Z"
"mov_wc58fdnwd","MAIN","BEV-CHOC-BAR","Chocolate Bar (50g)","initial","0","81","81","Initial store inventory upload","2026-07-21T12:56:46.254Z","2026-07-21T12:56:46.254Z"
"mov_vdo7x7edt","MAIN","BEV-ENERGY-250ML","Energy Drink (250ml)","initial","0","90","90","Initial store inventory upload","2026-07-27T09:31:23.254Z","2026-07-27T09:31:23.254Z"
"mov_vw0uv7lib","MAIN","PER-SOAP","Hand Soap (100g)","initial","0","56","56","Initial store inventory upload","2026-08-10T07:27:15.254Z","2026-08-10T07:27:15.254Z"
